player,team,position,snap_share,route_participation,target_share,air_yards_share,red_zone_touch_share,red_zone_carries,red_zone_targets,goal_line_touches,targets_pg,receptions_pg,rush_attempts_pg,carries_share,pass_attempts_pg,passing_yards_pg,rushing_yards_pg,receiving_yards_pg,fantasy_points_pg
C.Reynolds,DET,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,0.68,0.0,0.0,4.0,0.0,0.4
C.Ridley,TEN,,0.0,0.0,6.79,11.55,1.32,0.0,2.0,0.0,5.143,2.429,0.0,0.0,0.0,0.0,0.0,43.286,6.757
C.Rodriguez,WAS,,0.0,0.0,0.92,0.43,15.6,33.0,1.0,14.0,0.333,0.25,9.333,23.0,0.0,0.0,41.667,2.5,7.667
C.Runyon,LV,,0.0,0.0,0.2,-0.09,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3
C.Rush,BAL,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.2,17.667,101.0,0.0,0.0,2.707
C.Rush,BAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.59,0.0,0.0,-4.0,0.0,-0.4
C.Samuel,BUF,,0.0,0.0,1.84,4.15,0.36,0.0,1.0,0.0,1.8,1.4,0.0,0.0,0.0,0.0,0.0,16.2,4.22
C.Skattebo,NYG,,0.0,0.0,6.32,-0.12,10.73,24.0,4.0,10.0,4.0,3.0,12.75,19.92,0.0,0.0,51.25,25.875,15.962
C.Stover,HOU,,0.0,0.0,2.87,0.67,2.47,3.0,3.0,0.0,2.667,2.0,0.667,0.84,0.0,0.0,0.5,12.667,3.317
C.Stroud,HOU,QB,0.0,0.0,0.0,0.0,3.29,8.0,0.0,2.0,0.0,0.0,3.429,10.08,32.071,217.214,14.929,0.0,15.467
C.Sutton,DEN,QB,0.0,0.0,0.68,0.71,8.06,0.0,20.0,6.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,24.0,5.4
C.Sutton,DEN,,0.0,0.0,20.54,34.49,8.06,0.0,20.0,6.0,7.562,4.438,0.0,0.0,0.0,0.0,0.0,62.062,13.269
C.Tillman,CLE,,0.0,0.0,7.44,12.89,2.26,0.0,4.0,1.0,3.25,1.75,0.0,0.0,0.0,0.0,0.0,22.5,5.0
C.Tune,GB,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.02,10.0,21.0,11.5,0.0,1.49
C.Ward,TEN,QB,0.0,0.0,0.0,0.0,6.58,10.0,0.0,2.0,0.0,0.0,2.294,10.32,35.0,186.412,9.353,0.0,12.215
C.Washington,ATL,,0.0,0.0,0.96,2.1,0.0,,,,1.667,0.667,0.0,0.0,0.0,0.0,0.0,14.0,2.067
C.Watson,GB,,0.0,0.0,11.9,23.9,2.87,1.0,6.0,2.0,5.5,3.5,0.1,0.2,0.0,0.0,0.3,61.1,13.24
C.Wentz,MIN,QB,0.0,0.0,0.0,0.0,0.95,2.0,0.0,0.0,0.0,0.0,2.2,2.68,37.8,243.2,11.4,0.0,14.668
C.White,SEA,,0.0,0.0,0.88,1.07,0.0,,,,1.333,1.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0
C.Williams,CHI,QB,0.0,0.0,0.37,-0.07,8.4,20.0,1.0,3.0,0.118,0.118,4.529,15.19,35.059,231.882,22.529,1.294,19.128
C.Wilson,MIA,,0.0,0.0,1.94,2.39,1.49,0.0,3.0,0.0,1.5,0.833,0.0,0.0,0.0,0.0,0.0,7.333,1.567
C.Woerner,ATL,,0.0,0.0,1.72,0.29,0.49,0.0,1.0,0.0,1.5,1.333,0.0,0.0,0.0,0.0,0.0,8.0,2.133
