player,team,position,games_played,targets_pg,receptions_pg,receiving_yards_pg,receiving_tds,target_share,air_yards_share,air_yards_pg,snap_share,route_participation,red_zone_targets,goal_line_touches,fantasy_points_pg
J.McMillan,TB,,4,3.75,3.0,44.5,0.0,2.75,4.13,44.75,0.0,0.0,1.0,0.0,7.475
J.McNichols,WAS,,16,2.0,1.562,12.25,0.0,7.34,-0.61,-1.438,0.0,0.0,3.0,3.0,4.544
J.Metchie,NYJ,,9,4.889,3.222,28.444,2.0,9.22,8.14,29.111,0.0,0.0,5.0,0.0,7.344
J.Metchie,PHI,,3,1.333,1.333,6.0,0.0,0.86,0.14,2.0,0.0,0.0,,,1.933
J.Meyers,JAX,,9,6.778,4.667,53.667,3.0,11.11,11.72,63.556,0.0,0.0,9.0,3.0,12.178
J.Meyers,LV,,7,7.0,4.714,50.286,0.0,9.88,13.63,62.286,0.0,0.0,6.0,0.0,9.743
J.Mingo,DAL,,5,1.0,0.2,5.0,0.0,0.82,1.97,19.4,0.0,0.0,,,0.7
J.Mitchell,CAR,,2,1.5,1.5,14.0,0.0,0.62,0.21,3.5,0.0,0.0,,,2.9
J.Mundt,JAX,,11,1.727,0.818,10.091,0.0,3.46,2.05,9.091,0.0,0.0,1.0,0.0,1.827
J.Nailor,MIN,,17,3.176,1.706,26.118,4.0,11.44,17.61,38.588,0.0,0.0,13.0,5.0,5.806
J.Noel,HOU,,14,2.5,1.857,20.857,2.0,6.28,7.12,23.357,0.0,0.0,5.0,2.0,4.886
J.Oliver,MIN,,12,1.667,1.25,13.333,4.0,4.24,1.72,5.333,0.0,0.0,7.0,1.0,4.583
J.Palmer,BUF,,12,3.083,1.833,25.25,0.0,7.58,12.14,35.333,0.0,0.0,6.0,1.0,4.358
J.Patterson,LAC,,6,0.667,0.5,1.333,0.0,0.74,-0.02,-0.167,0.0,0.0,0.0,2.0,4.283
J.Proche,TEN,,6,2.0,1.0,10.833,0.0,2.26,4.46,29.167,0.0,0.0,,,2.083
J.Reed,GB,,5,4.4,3.8,41.4,1.0,4.76,4.38,35.8,0.0,0.0,4.0,0.0,9.7
J.Reynolds,NYJ,,5,4.4,2.2,20.2,0.0,4.61,8.58,55.2,0.0,0.0,2.0,1.0,4.22
J.Royals,KC,,1,3.0,2.0,4.0,0.0,0.54,0.51,22.0,0.0,0.0,,,2.4
J.Ruckert,NYJ,,13,2.231,1.769,12.923,1.0,6.08,3.17,7.846,0.0,0.0,3.0,1.0,3.523
J.Sanders,CAR,,11,3.091,2.636,17.273,1.0,7.05,5.03,14.909,0.0,0.0,10.0,0.0,4.909
J.Simmons,TEN,,1,1.0,1.0,1.0,1.0,0.19,0.03,1.0,0.0,0.0,1.0,1.0,7.1
J.Smith,PIT,,17,3.235,2.235,13.059,2.0,10.5,7.39,13.765,0.0,0.0,8.0,3.0,5.012
J.Smith-Njigba,SEA,,17,9.588,7.0,105.471,10.0,35.67,50.07,107.824,0.0,0.0,17.0,3.0,21.288
J.Smith-Schuster,KC,,16,2.812,2.062,21.562,1.0,8.15,5.68,15.25,0.0,0.0,9.0,2.0,4.594
J.Stoll,NO,,8,1.375,0.75,5.75,1.0,1.94,0.73,4.25,0.0,0.0,1.0,0.0,2.075
J.Taylor,IND,,17,3.294,2.706,22.235,2.0,10.45,-1.05,-2.647,0.0,0.0,5.0,25.0,21.312
J.Thrash,CLE,,8,1.875,1.25,13.375,0.0,2.86,2.84,12.75,0.0,0.0,1.0,0.0,2.588
J.Tolbert,DAL,,11,3.182,1.636,18.455,1.0,5.74,8.28,37.091,0.0,0.0,5.0,2.0,4.027
J.Tonges,SF,,9,5.111,3.778,32.556,5.0,8.3,5.64,25.889,0.0,0.0,7.0,3.0,10.367
J.Waddle,MIA,QB,1,8.0,6.0,95.0,0.0,1.72,3.64,120.0,0.0,0.0,11.0,4.0,15.82
J.Waddle,MIA,,15,6.133,3.867,54.333,6.0,19.78,35.94,79.067,0.0,0.0,11.0,4.0,11.887
J.Walker,CHI,,3,3.333,2.0,29.0,2.0,1.87,2.87,43.333,0.0,0.0,2.0,1.0,8.9
J.Warren,PIT,,16,2.812,2.5,20.812,2.0,8.59,-3.57,-7.062,0.0,0.0,5.0,15.0,13.569
J.Watkins,SF,,2,1.5,1.0,13.0,0.0,0.54,1.04,21.5,0.0,0.0,,,2.3
J.Watson,HOU,,2,2.0,1.5,15.0,0.0,0.72,0.72,16.5,0.0,0.0,2.0,0.0,3.0
J.Wayne,HOU,,1,2.0,2.0,20.0,0.0,0.36,0.37,17.0,0.0,0.0,,,4.0
J.Westover,NE,,2,1.0,0.5,0.0,0.0,0.41,0.04,1.0,0.0,0.0,,,0.5
J.Whittington,LA,,13,1.923,1.385,13.154,0.0,4.3,3.23,13.154,0.0,0.0,1.0,0.0,2.792
J.Whyle,GB,,6,1.0,0.833,6.0,1.0,1.3,0.56,3.833,0.0,0.0,1.0,1.0,2.433
J.Wiley,KC,,1,1.0,1.0,4.0,0.0,0.18,-0.09,-4.0,0.0,0.0,,,1.4
J.Williams,DAL,,16,3.188,2.188,8.562,2.0,8.36,-1.36,-4.188,0.0,0.0,12.0,24.0,15.425
J.Williams,DET,,17,6.0,3.824,65.235,7.0,18.55,35.09,75.824,0.0,0.0,9.0,1.0,12.888
J.Winston,NYG,QB,3,0.333,0.333,11.0,1.0,0.2,0.3,4.333,0.0,0.0,0.0,1.0,15.76
J.Woods,NYJ,,2,1.5,0.5,2.0,0.0,0.63,0.19,3.0,0.0,0.0,1.0,0.0,0.7
J.Wright,MIA,,9,1.0,0.556,4.889,0.0,1.94,-1.03,-3.778,0.0,0.0,0.0,4.0,5.578
Ja.Jones,WAS,,1,1.0,1.0,25.0,0.0,0.23,0.08,3.0,0.0,0.0,,,3.5
Ji.Horn,CAR,,10,1.5,1.1,10.8,0.0,3.11,2.76,9.0,0.0,0.0,3.0,0.0,2.87
K.Allen,LAC,,17,7.176,4.765,45.706,4.0,22.43,23.3,60.412,0.0,0.0,16.0,3.0,10.747
K.Austin,NO,,5,4.6,2.6,28.0,1.0,4.06,4.08,38.2,0.0,0.0,2.0,0.0,6.6
K.Bourne,SF,,14,3.786,2.643,39.357,0.0,9.57,14.14,41.714,0.0,0.0,2.0,0.0,6.579
K.Boutte,NE,,14,3.286,2.357,39.357,6.0,9.52,17.45,55.786,0.0,0.0,4.0,2.0,8.864
K.Coleman,BUF,,12,5.167,3.167,33.667,4.0,12.7,18.87,54.917,0.0,0.0,12.0,6.0,8.533
K.Gainwell,PIT,,17,5.0,4.294,28.588,3.0,16.22,-0.54,-1.0,0.0,0.0,17.0,10.0,13.135
K.Granson,PHI,,4,2.25,1.75,10.0,0.0,1.93,1.61,17.0,0.0,0.0,1.0,0.0,2.75
K.Herbert,NYJ,,3,1.333,0.333,1.333,0.0,0.84,-0.4,-4.333,0.0,0.0,1.0,0.0,2.2
K.Hodge,ATL,,3,3.333,1.0,10.333,0.0,1.92,3.59,50.0,0.0,0.0,,,2.033
K.Hunt,KC,,17,1.471,1.059,8.412,1.0,4.53,0.0,0.0,0.0,0.0,5.0,16.0,8.671
K.Johnson,PIT,,10,0.2,0.1,0.9,0.0,0.38,-0.25,-0.8,0.0,0.0,0.0,0.0,0.88
K.Johnson,TB,,5,1.4,0.8,12.8,1.0,1.28,2.03,17.6,0.0,0.0,,,3.54
K.Juszczyk,SF,,15,1.867,1.6,14.2,2.0,5.05,2.91,8.0,0.0,0.0,5.0,3.0,3.8
K.Lambert-Smith,LAC,,7,1.714,0.714,7.286,1.0,2.21,4.79,30.143,0.0,0.0,2.0,0.0,2.3
K.Latu,BUF,,2,2.0,2.0,17.5,0.0,0.82,0.34,6.0,0.0,0.0,,,3.75
K.Miller,NO,,7,0.714,0.714,4.286,0.0,0.88,-0.11,-0.714,0.0,0.0,0.0,0.0,4.757
K.Mitchell,BAL,,12,1.0,0.75,5.25,0.0,2.93,-0.83,-2.333,0.0,0.0,0.0,0.0,4.617
